mainInfo,docsLink,flats
"{""id"":""ID дома: p-16916"",""name"":""ЖК \""Янинский каскад-5\"""",""address"":""Адрес: обл Ленинградская  Всеволожский  гп Янино-1  улица 7-ая линия  влад. Участок 1"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/4074"",""groupOfCompany"":null,""enterExplotation"":null,""cadastrNum"":""47:07:1002006:41"",""floorsNum"":""-"",""livingRoom"":""251"",""livingArea"":""10 992"",""unlivingRoom"":""3"",""unlivingArea"":""2 271"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/16916/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport&tab=other,"{""oneRoomFlatQnt"":""167 квартир"",""twoRoomFlatQnt"":""73 квартиры"",""threeRoomFlatQnt"":""11 квартир"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""3"",""averFlatQntPerFloor"":""9"",""leavingFirstFloor"":""—""}"
"{""id"":""ID дома: p-2862"",""name"":""край Пермский  г Пермь  ул Адмирала Ушакова  д. 34"",""address"":""Адрес: край Пермский  г Пермь  ул Адмирала Ушакова  д. 34"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/1908"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/6794"",""enterExplotation"":""II кв. 2020"",""cadastrNum"":""59:01:1713127:0000007"",""floorsNum"":""24"",""livingRoom"":""159"",""livingArea"":""6 201"",""unlivingRoom"":""1"",""unlivingArea"":""2 546"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/2862/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation,"{""oneRoomFlatQnt"":null,""twoRoomFlatQnt"":null,""threeRoomFlatQnt"":null,""fourPlusRoomFlatQnt"":null,""entranceQnt"":null,""averFlatQntPerFloor"":null,""leavingFirstFloor"":null}"
"{""id"":""ID дома: p-4071"",""name"":""обл Челябинская  город Южноуральск  Южноуральский городской округ  улица Сергея Буландо  д. 8"",""address"":""Адрес: обл Челябинская  город Южноуральск  Южноуральский городской округ  улица Сергея Буландо  д. 8"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/1955"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/5635"",""enterExplotation"":""I кв. 2019"",""cadastrNum"":""74:37:0209026:1031"",""floorsNum"":""10"",""livingRoom"":""129"",""livingArea"":""5 766"",""unlivingRoom"":""-"",""unlivingArea"":""-"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/4071/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport,"{""oneRoomFlatQnt"":""62 квартиры"",""twoRoomFlatQnt"":""57 квартир"",""threeRoomFlatQnt"":""10 квартир"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""3"",""averFlatQntPerFloor"":""4"",""leavingFirstFloor"":""—""}"
"{""id"":""ID дома: p-39960"",""name"":""обл Челябинская  город Южноуральск  Южноуральский городской округ  улица Сергея Буландо  д. 8"",""address"":""Адрес: обл Челябинская  город Южноуральск  Южноуральский городской округ  улица Сергея Буландо  д. 8"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/1955"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/5635"",""enterExplotation"":""I кв. 2019"",""cadastrNum"":""74:37:0209026:1031"",""floorsNum"":""10"",""livingRoom"":""119"",""livingArea"":""3 927"",""unlivingRoom"":""-"",""unlivingArea"":""-"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/39960/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport,"{""oneRoomFlatQnt"":""118 квартир"",""twoRoomFlatQnt"":""1 квартира"",""threeRoomFlatQnt"":""—"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""2"",""averFlatQntPerFloor"":""6"",""leavingFirstFloor"":""—""}"
"{""id"":""ID дома: p-116300"",""name"":""ЖК \""Романовский двор\"""",""address"":""Адрес: край Краснодарский  г Краснодар  Прикубанский внутригородской  посёлок Берёзовый  улица Профессора Рудакова  д. 7  лит. 2  корп. 45  Краснодарский край  г. Краснодар  посёлок Берёзовый 7/45 Литер 2"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/7487"",""groupOfCompany"":null,""enterExplotation"":null,""cadastrNum"":""23:43:108020:3831"",""floorsNum"":""17"",""livingRoom"":""223"",""livingArea"":""12 940"",""unlivingRoom"":""23"",""unlivingArea"":""780"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/116300/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport&tab=other,"{""oneRoomFlatQnt"":""96 квартир"",""twoRoomFlatQnt"":""127 квартир"",""threeRoomFlatQnt"":""—"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""2"",""averFlatQntPerFloor"":""7"",""leavingFirstFloor"":""—""}"
"{""id"":""ID дома: p-116299"",""name"":""ЖК\""Романовский двор\"""",""address"":""Адрес: край Краснодарский  г Краснодар  Прикубанский внутригородской  посёлок Берёзовый  улица Профессора Рудакова  д. 7  лит. 1  корп. 45  Краснодарский край  г. Краснодар  посёлок Берёзовый 7/45 Литер 1"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/7487"",""groupOfCompany"":null,""enterExplotation"":null,""cadastrNum"":""23:43:108020:3831"",""floorsNum"":""17"",""livingRoom"":""256"",""livingArea"":""12 594"",""unlivingRoom"":""98"",""unlivingArea"":""671"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/116299/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport&tab=other,"{""oneRoomFlatQnt"":""192 квартиры"",""twoRoomFlatQnt"":""64 квартиры"",""threeRoomFlatQnt"":""—"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""2"",""averFlatQntPerFloor"":""8"",""leavingFirstFloor"":""—""}"
"{""id"":""ID дома: p-2129"",""name"":""многоквартирный жилой дом"",""address"":""Адрес: Новосибирская обл.  г. Новосибирск  Кировский р-н  ул. Зорге  стр. 229/1  д. 1"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/6511"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/5685"",""enterExplotation"":""III кв. 2019"",""cadastrNum"":""54:35:051945:0001"",""floorsNum"":""27"",""livingRoom"":""338"",""livingArea"":""12 782"",""unlivingRoom"":""-"",""unlivingArea"":""6 764"",""parkPlaces"":""-"",""parkArea"":""-""}",,"{""oneRoomFlatQnt"":null,""twoRoomFlatQnt"":null,""threeRoomFlatQnt"":null,""fourPlusRoomFlatQnt"":null,""entranceQnt"":null,""averFlatQntPerFloor"":null,""leavingFirstFloor"":null}"
"{""id"":""ID дома: p-1964"",""name"":""многоквартирный жилой дом"",""address"":""Адрес: Новосибирская обл.  г. Новосибирск  Кировский р-н  ул. Зорге  стр. 229/1  д. 2"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/6511"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/5685"",""enterExplotation"":""III кв. 2019"",""cadastrNum"":""54:35:051945:0001"",""floorsNum"":""27"",""livingRoom"":""338"",""livingArea"":""12 782"",""unlivingRoom"":""-"",""unlivingArea"":""6 764"",""parkPlaces"":""-"",""parkArea"":""-""}",,"{""oneRoomFlatQnt"":null,""twoRoomFlatQnt"":null,""threeRoomFlatQnt"":null,""fourPlusRoomFlatQnt"":null,""entranceQnt"":null,""averFlatQntPerFloor"":null,""leavingFirstFloor"":null}"
"{""id"":""ID дома: p-8130"",""name"":""многоквартирный жилой дом"",""address"":""Адрес: Новосибирская обл.  г. Новосибирск  Кировский р-н  ул. Зорге  стр. 229/1  д. 3"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/6511"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/5685"",""enterExplotation"":""III кв. 2019"",""cadastrNum"":""54:35:051945:0001"",""floorsNum"":""27"",""livingRoom"":""338"",""livingArea"":""12 782"",""unlivingRoom"":""-"",""unlivingArea"":""6 764"",""parkPlaces"":""-"",""parkArea"":""-""}",,"{""oneRoomFlatQnt"":null,""twoRoomFlatQnt"":null,""threeRoomFlatQnt"":null,""fourPlusRoomFlatQnt"":null,""entranceQnt"":null,""averFlatQntPerFloor"":null,""leavingFirstFloor"":null}"
"{""id"":""ID дома: p-39662"",""name"":""ЖК \""Опалиха Парк\"""",""address"":""Адрес: обл Московская  Красногорский  г Красногорск  мкр. Опалиха  Корпус 3"",""developer"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA/6313"",""groupOfCompany"":""https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B9-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80-%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%D0%BE%D0%B2/%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9/6261"",""enterExplotation"":""III кв. 2021"",""cadastrNum"":""50:11:0000000:169372"",""floorsNum"":""8"",""livingRoom"":""158"",""livingArea"":""6 169"",""unlivingRoom"":""5"",""unlivingArea"":""685"",""parkPlaces"":""-"",""parkArea"":""-""}",https://xn--80az8a.xn--d1aqf.xn--p1ai/%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B/api/object/problem/39662/documentation/download?tab=projectDeclarations&tab=permits&tab=projectDocumentation&tab=developerReport&tab=other,"{""oneRoomFlatQnt"":""136 квартир"",""twoRoomFlatQnt"":""22 квартиры"",""threeRoomFlatQnt"":""—"",""fourPlusRoomFlatQnt"":""—"",""entranceQnt"":""3"",""averFlatQntPerFloor"":""8"",""leavingFirstFloor"":""—""}"
